ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.318,-0.7577,-0.2183,0.7249,-3.6183,0.2214,-0.5878
1.338,-0.7527,-0.2178,0.7266,-3.2672,-0.1145,-0.8931
1.358,-0.7545,-0.219,0.7278,-3.1832,-0.0305,-0.9542
1.378,-0.7511,-0.2166,0.7271,-3.2748,-0.0229,-0.855
1.398,-0.7495,-0.2162,0.724,-3.1985,-0.0076,-0.7328
1.418,-0.7554,-0.2166,0.7234,-3.1985,0.0611,-0.4427
1.438,-0.7576,-0.2209,0.7222,-3.6336,0.229,-0.2443
1.458,-0.7555,-0.2183,0.7253,-3.2824,0.5344,-0.1603
1.478,-0.7578,-0.2179,0.7249,-2.9924,0.4809,-0.4656
1.498,-0.7509,-0.2173,0.7244,-3.3588,0.4656,-0.4198
1.518,-0.7542,-0.2151,0.7273,-3.6107,0.4046,0.1603
1.538,-0.7548,-0.2195,0.7286,-3.1374,0.3359,-0.4656
1.558,-0.7574,-0.2212,0.7241,-3.542,0.3359,-0.2672
1.579,-0.7538,-0.2151,0.7297,-3.1679,0.2901,-0.1603
1.598,-0.7559,-0.2163,0.7266,-3.3435,0.2977,-0.3359
1.618,-0.7537,-0.2213,0.7247,-3.4733,0.3969,-0.2748
1.638,-0.7546,-0.2173,0.7244,-3.2443,0.458,-0.2443
1.658,-0.7527,-0.2173,0.7268,-3.2214,0.6718,-0.4885
1.678,-0.7534,-0.2174,0.7268,-3.4198,0.4351,-0.4046
1.698,-0.7524,-0.2202,0.7271,-3.2824,0.3053,-0.5802
1.718,-0.7542,-0.2212,0.7227,-3.2748,0.2519,-0.6489
1.738,-0.756,-0.2208,0.7253,-3.3359,0.2443,-0.7099
1.758,-0.7562,-0.2208,0.7252,-3.0382,0.1832,-1.0611
1.778,-0.7554,-0.2183,0.7264,-3.2137,0.1985,-0.7023
1.798,-0.7538,-0.2197,0.7317,-3.2137,0.1221,-0.9847
1.818,-0.7546,-0.2181,0.7231,-3.1298,0.0687,-1.1756
1.838,-0.7551,-0.2166,0.7239,-3.3206,0.1832,-0.6412
1.858,-0.7512,-0.2186,0.7264,-3.2519,0.1145,-0.6336
1.879,-0.7538,-0.2198,0.7307,-3.2137,-0.0153,-0.7939
1.899,-0.7552,-0.2161,0.7257,-3.5115,0.0611,-0.6031
1.92,-0.7535,-0.2184,0.7261,-3.0611,0.2595,-0.7023
1.939,-0.755,-0.217,0.7266,-3.2214,0.5344,-0.3969
1.959,-0.7576,-0.2196,0.7301,-3.1756,0.229,-0.8015
1.979,-0.7551,-0.2203,0.7291,-3.2061,0.0611,-0.8397
1.999,-0.7565,-0.2172,0.7247,-3.2061,0.1145,-0.8779
2.019,-0.7527,-0.2133,0.7286,-3.2137,0.1221,-0.9389
2.039,-0.7533,-0.2174,0.7299,-3.3588,0.1221,-0.2824
2.059,-0.7524,-0.2197,0.7245,-3.4504,-0.0611,-0.2443
2.079,-0.7546,-0.2189,0.7286,-3.3588,0.1908,-0.542
2.099,-0.7543,-0.2184,0.7252,-3.1985,0.313,-0.1832
2.119,-0.7522,-0.2194,0.725,-3.4122,0.542,-0.2672
2.139,-0.7534,-0.2184,0.7277,-3.313,0.2519,-0.5649
2.159,-0.7523,-0.2185,0.7264,-3.4351,0.145,-0.3664
2.179,-0.7534,-0.2175,0.7245,-3.2977,0.1603,-0.5191
2.199,-0.7585,-0.2177,0.7256,-3.3969,0.2137,-0.2748
2.22,-0.7568,-0.2217,0.7246,-3.2214,0.1069,-0.4962
2.24,-0.752,-0.217,0.7263,-3.2672,-0.0992,-0.4198
2.26,-0.7535,-0.2177,0.7251,-3.4198,-0.0229,0.0076
2.28,-0.7561,-0.2185,0.7289,-3.2137,0.0916,-0.4962
2.3,-0.7534,-0.2169,0.7256,-3.1298,0.2977,-0.4962
2.32,-0.752,-0.2196,0.7245,-3.0916,0.3664,-0.313
2.34,-0.7542,-0.2203,0.7252,-3.4122,0.2748,-0.7405
